Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,Nature,Reporting Type,Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),288,Ghana,2016,1.15,2016,,,,,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,CA,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),296,Kiribati,2016,-0.29,2016,,,,,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,CA,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),300,Greece,2016,0.23,2016,,,,,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,CA,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),304,Greenland,2016,4.62,2016,,,,,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,CA,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),308,Grenada,2016,3.12,2016,,,,,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,CA,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),320,Guatemala,2016,1.04,2016,,,,,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,CA,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),324,Guinea,2016,7.94,2016,,,,,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,CA,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),328,Guyana,2016,2.83,2016,,,,,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,CA,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),332,Haiti,2016,0.10,2016,,,,,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,CA,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),340,Honduras,2016,2.12,2016,,,,,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,CA,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),344,"China, Hong Kong Special Administrative Region",2016,1.36,2016,,,,,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,CA,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),348,Hungary,2016,2.46,2016,,,,,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,CA,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),352,Iceland,2016,6.00,2016,,,,,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,CA,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),356,India,2016,7.00,2016,,,,,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,CA,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),360,Indonesia,2016,3.76,2016,,,,,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,CA,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),364,Iran (Islamic Republic of),2016,11.87,2016,,,,,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,CA,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),368,Iraq,2016,10.56,2016,,,,,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,CA,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),372,Ireland,2016,2.72,2016,,,,,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,CA,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),376,Israel,2016,2.31,2016,,,,,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,CA,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),380,Italy,2016,1.14,2016,,,,,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,CA,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),384,Côte d'Ivoire,2016,5.27,2016,,,,,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,CA,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),388,Jamaica,2016,0.84,2016,,,,,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,CA,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),392,Japan,2016,0.78,2016,,,,,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,CA,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),398,Kazakhstan,2016,-0.37,2016,,,,,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,CA,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
