Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,Nature,Reporting Type,Type of product,Units,2005,2010,2015,2016,2017,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17.10,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",142,Asia,C,G,ALP,PERCENT,4.80,4.46,5.46,4.37,4.89,4.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17.10,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",142,Asia,C,G,ARM,PERCENT,5.96,7.01,6.28,7.64,6.55,6.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17.10,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",142,Asia,C,G,CLO,PERCENT,6.81,7.43,8.10,7.85,8.51,8.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17.10,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",142,Asia,C,G,IND,PERCENT,3.76,3.85,4.67,3.35,3.84,3.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17.10,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",142,Asia,C,G,OIL,PERCENT,1.28,0.54,0.53,0.53,0.50,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17.10,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",142,Asia,C,G,TEX,PERCENT,8.66,7.19,7.99,7.01,8.27,8.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17.10,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",36,Australia,C,G,AGR,PERCENT,3.08,2.85,2.62,2.43,2.65,2.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17.10,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",36,Australia,C,G,ALP,PERCENT,3.43,3.45,2.78,2.70,2.70,2.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17.10,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",36,Australia,C,G,ARM,PERCENT,0.64,0.66,1.09,0.95,0.84,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17.10,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",36,Australia,C,G,CLO,PERCENT,16.93,16.92,4.88,4.89,4.88,4.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17.10,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",36,Australia,C,G,IND,PERCENT,3.24,3.34,2.79,2.73,2.71,2.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17.10,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",36,Australia,C,G,OIL,PERCENT,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17.10,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",36,Australia,C,G,TEX,PERCENT,7.21,7.49,4.48,4.46,4.48,4.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17.10,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",53,Australia and New Zealand,C,G,AGR,PERCENT,3.06,2.77,2.59,2.41,2.63,2.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17.10,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",53,Australia and New Zealand,C,G,ALP,PERCENT,3.34,3.25,2.67,2.60,2.61,2.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17.10,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",53,Australia and New Zealand,C,G,ARM,PERCENT,0.63,0.64,1.07,0.95,0.84,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17.10,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",53,Australia and New Zealand,C,G,CLO,PERCENT,16.30,16.18,5.65,5.66,5.63,5.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17.10,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",53,Australia and New Zealand,C,G,IND,PERCENT,3.16,3.14,2.65,2.59,2.58,2.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17.10,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",53,Australia and New Zealand,C,G,OIL,PERCENT,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17.10,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",53,Australia and New Zealand,C,G,TEX,PERCENT,6.98,6.93,4.46,4.47,4.49,4.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17.10,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",31,Azerbaijan,C,G,AGR,PERCENT,7.51,8.11,6.21,4.90,9.04,9.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17.10,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",31,Azerbaijan,C,G,ALP,PERCENT,7.73,6.91,7.16,7.08,8.23,8.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17.10,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",31,Azerbaijan,C,G,CLO,PERCENT,15.00,15.00,15.00,15.00,15.00,15.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17.10,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",31,Azerbaijan,C,G,IND,PERCENT,7.64,6.61,7.25,7.54,7.67,7.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17.10,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",31,Azerbaijan,C,G,OIL,PERCENT,,0.00,,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
